time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,42,17,,0,0,7
2021-01-01,,,,0,0,7
2021-01-02,34,9,,0,0,7
2021-01-02,,,,0,0,7
2021-01-03,18,17,,0,0,7
2021-01-03,,,,0,0,7
2021-01-04,35,19,,0,,7
2021-01-04,,,,,0,8
2021-01-05,37,19,,0,0,6
2021-01-05,,,,0,,
2021-01-06,25,40,,0,0,7
2021-01-07,47,36,,0,0,6
2021-01-08,56,37,,0,0,7
2021-01-09,51,29,,0,0,7
2021-01-10,49,27,,0,0,7
2021-01-11,43,13,,0,0,7
2021-01-12,25,17,,0,0,7
2021-01-13,29,38,,0,0,7
2021-01-14,43,33,,0,0,9
2021-01-15,53,33,,0,0,10
2021-01-16,53,42,,0,0,9
2021-01-17,59,23,,0,0,9
2021-01-18,49,17,,0,0,9
2021-01-19,35,14,,0,0,8
2021-01-20,27,19,,0,0,8
2021-01-21,28,21,,0,0,9
2021-01-22,40,21,,0,0,10
2021-01-23,29,18,,0,0,12
2021-01-24,30,19,,0,,12
2021-01-25,33,21,,0,0,13
2021-01-26,37,21,,0,0,13
2021-01-27,37,25,,0,0,13
2021-01-28,32,16,,0,0,13
2021-01-29,31,18,,0,0,12
2021-01-30,32,14,,0,0,12
2021-01-31,27,14,,0,0,12
2021-02-01,23,22,,0,0,12
2021-02-02,38,16,,0,0,13
2021-02-03,24,14,,0,0,14
2021-02-04,21,12,,0,0,14
2021-02-05,18,24,,0,,14
2021-02-06,35,38,,0,0,14
2021-02-07,37,21,,0,0,13
2021-02-08,33,13,,0,0,14
2021-02-09,25,11,,0,0,13
2021-02-10,19,10,,0,0,14
2021-02-11,15,7,,0,0,13
2021-02-12,14,10,,0,0,10
2021-02-13,17,18,,0,,7
2021-02-14,25,27,,0,,7
2021-02-15,33,14,,0,0,8
2021-02-16,25,20,,,,7
2021-02-17,28,34,,0,0,8
2021-02-18,29,21,,0,0,7
2021-02-19,26,24,,,0,7
2021-02-20,28,31,,0,,7
2021-02-21,39,20,,,,7
2021-02-22,37,16,,0,,8
2021-02-23,31,24,,0,,8
2021-02-24,27,55,,0,0,8
2021-02-25,38,27,,0,,7
2021-02-26,47,23,,0,,8
2021-02-27,36,18,,0,0,8
2021-02-28,34,23,,,,7
2021-03-01,42,26,,0,0,8
2021-03-02,47,21,,0,,8
2021-03-03,36,20,,0,,8
2021-03-04,26,17,,0,0,8
2021-03-05,18,16,,0,0,8
2021-03-06,30,17,,0,0,8
2021-03-07,26,13,,1,0,8
2021-03-08,24,15,,0,4,6
2021-03-09,29,18,,1,0,5
2021-03-10,25,23,,1,0,5
2021-03-11,31,19,,1,0,6
2021-03-12,28,16,,1,0,6
2021-03-13,25,25,,1,0,7
2021-03-14,32,27,,1,0,7
2021-03-15,42,20,,1,0,7
2021-03-16,35,10,,1,0,8
2021-03-17,22,15,,1,0,8
2021-03-18,29,17,,1,0,8
2021-03-19,27,19,,1,0,8
2021-03-20,35,19,,1,0,8
2021-03-21,34,13,,1,0,8
2021-03-22,21,15,,1,0,8
2021-03-23,26,16,,1,0,8
2021-03-24,24,17,,1,0,8
2021-03-25,28,17,,1,0,8
2021-03-26,26,23,,1,0,8
2021-03-27,35,18,,1,0,8
2021-03-28,34,19,,1,0,8
2021-03-29,30,23,,1,0,8
2021-03-30,39,,,1,0,8
2021-07-01,,19,,1,0,3
2021-07-02,30,24,,1,0,3
2021-07-03,45,26,,1,0,4
2021-07-04,48,12,,0,0,3
2021-07-05,20,6,,0,0,3
2021-07-06,13,18,,1,0,3
2021-07-07,33,22,,2,0,3
2021-07-08,36,22,,1,0,3
2021-07-09,47,16,,1,0,3
2021-07-10,30,23,,2,0,4
2021-07-11,44,19,,2,0,4
2021-07-12,37,20,,2,0,4
2021-07-13,38,18,,2,0,4
2021-07-14,32,24,,2,0,4
2021-07-15,51,19,,1,0,4
2021-07-16,37,31,,1,0,4
2021-07-17,47,41,,5,0,7
2021-07-18,67,31,,4,0,5
2021-07-19,59,16,,0,0,3
2021-07-20,33,26,,3,0,5
2021-07-21,46,29,,3,0,5
2021-07-22,51,29,,2,0,5
2021-07-23,61,42,,5,0,7
2021-07-24,65,29,,2,0,5
2021-07-25,63,17,,2,0,5
2021-07-26,44,31,,5,0,6
2021-07-27,55,17,,3,0,5
2021-07-28,33,15,,1,0,4
2021-07-29,27,16,,1,0,4
2021-07-30,24,17,,3,0,5
2021-07-31,28,28,,3,0,6
2021-08-01,58,32,,2,0,7
2021-08-02,66,28,,5,0,6
2021-08-03,42,38,,5,0,6
2021-08-04,62,25,,2,0,5
2021-08-05,47,19,,3,0,6
2021-08-06,37,20,,3,0,6
2021-08-07,28,12,,0,0,5
2021-08-08,23,11,,0,0,5
2021-08-09,20,16,,2,0,5
2021-08-10,23,19,,2,0,5
2021-08-11,27,23,,2,0,6
2021-08-12,33,34,,4,0,8
2021-08-13,52,31,,3,0,7
2021-08-14,46,15,,2,0,6
2021-08-15,27,10,,0,0,7
2021-08-16,21,23,,2,1,5
2021-08-17,43,38,,7,0,7
2021-08-18,58,33,,5,0,5
2021-08-19,50,42,,3,0,4
2021-08-20,31,18,,2,0,5
2021-08-21,35,32,,3,0,6
2021-08-22,62,37,,5,0,6
2021-08-23,71,33,,3,0,3
2021-08-24,35,39,,7,0,7
2021-08-25,61,33,,4,0,6
2021-08-26,58,38,,5,0,5
2021-08-27,59,24,,4,0,5
2021-08-28,31,14,,0,0,4
2021-08-29,21,21,,2,0,5
2021-08-30,43,17,,2,0,5
2021-08-31,30,10,,0,0,3
2021-09-01,19,21,,3,0,5
2021-09-02,28,31,,1,0,5
2021-09-03,60,51,,8,0,9
2021-09-04,90,45,,4,1,8
2021-09-05,88,25,,3,0,5
2021-09-06,47,33,,2,0,4
2021-09-07,32,30,,4,0,5
2021-09-08,38,49,,3,1,6
2021-09-09,70,51,,5,1,8
2021-09-10,90,46,,9,0,9
2021-09-11,80,41,,6,0,9
2021-09-12,74,30,,2,0,6
2021-09-13,66,26,,3,0,6
2021-09-14,54,36,,5,0,7
2021-09-15,53,30,,4,0,7
2021-09-16,63,23,,3,0,6
2021-09-17,30,30,,3,0,7
2021-09-18,53,35,,5,0,9
2021-09-19,61,32,,0,0,4
2021-09-20,50,40,,2,0,4
2021-09-21,53,36,,3,0,6
2021-09-22,55,27,,3,0,7
2021-09-23,40,25,,2,0,7
2021-09-24,45,25,,3,0,7
2021-09-25,38,20,,1,0,6
2021-09-26,32,25,,2,0,6
2021-09-27,47,17,,1,0,5
2021-09-28,22,23,,2,0,7
2021-09-29,44,16,,2,0,6
2021-09-30,,20,,2,0,6
2021-09-30,16,20,,2,0,6
2021-10-01,28,32,,4,0,8
2021-10-01,28,32,,4,0,8
2021-10-02,59,23,,0,0,6
2021-10-02,59,23,,0,0,6
2021-10-03,29,14,,0,0,6
2021-10-03,29,14,,0,0,6
2021-10-04,28,18,,3,0,7
2021-10-04,28,,,,,
2021-10-05,32,35,,6,0,9
2021-10-06,63,31,,4,0,8
2021-10-07,62,48,,2,,6
2021-10-08,42,21,,5,,7
2021-10-09,42,31,,4,,8
2021-10-10,64,29,,4,,8
2021-10-11,63,29,,3,,7
2021-10-12,37,10,,1,,6
2021-10-13,19,25,10,4,,8
2021-10-14,45,37,8,6,,10
2021-10-15,63,44,9,7,,10
2021-10-16,77,30,11,4,,9
2021-10-17,59,33,14,3,,8
2021-10-18,62,23,13,2,,7
2021-10-19,35,10,12,1,,7
2021-10-20,22,9,11,1,,6
2021-10-21,14,11,10,1,,6
2021-10-22,24,25,11,2,,7
2021-10-23,51,32,10,3,,8
2021-10-24,68,34,11,3,,7
2021-10-25,69,36,15,2,,6
2021-10-26,48,39,14,1,0,6
2021-10-27,54,18,11,1,0,6
2021-10-28,29,49,8,3,0,10
2021-10-29,66,33,9,6,0,13
2021-10-30,58,36,9,4,0,13
2021-10-31,66,33,10,1,0,13
2021-11-01,68,16,9,1,0,11
2021-11-02,32,24,12,3,0,12
2021-11-03,45,24,10,2,0,11
2021-11-04,54,18,11,3,0,12
2021-11-05,44,24,13,3,0,14
2021-11-06,50,34,9,4,0,15
2021-11-07,76,27,12,2,0,13
2021-11-08,60,14,13,0,0,11
2021-11-09,26,32,12,4,0,14
2021-11-10,59,33,11,4,0,13
2021-11-11,47,12,11,2,0,12
2021-11-12,25,18,12,2,0,12
2021-11-13,40,31,12,1,0,13
2021-11-14,69,29,11,3,0,13
2021-11-15,64,37,13,5,0,14
2021-11-16,68,40,10,3,0,13
2021-11-17,61,30,11,0,0,13
2021-11-18,47,14,12,,0,12
2021-11-19,32,28,10,,0,14
2021-11-20,57,21,11,,0,13
2021-11-21,41,22,11,,0,13
2021-11-22,47,29,10,,0,14
2021-11-23,51,21,10,,0,12
2021-11-24,34,28,11,,0,13
2021-11-25,48,30,11,,0,13
2021-11-26,40,8,11,,0,12
2021-11-27,13,11,11,,0,13
2021-11-28,22,25,11,,0,13
2021-11-29,55,27,10,,0,13
2021-11-30,35,18,11,,0,13
2021-12-01,25,18,13,,0,13
2021-12-02,,9,12,1,0,13
2021-12-02,35,25,10,2,0,14
2021-12-03,18,11,12,0,0,13
2021-12-03,52,21,11,1,0,14
2021-12-04,23,11,12,0,0,13
2021-12-04,37,30,12,1,0,14
2021-12-05,21,12,12,1,0,13
2021-12-05,58,20,12,0,0,13
2021-12-06,23,19,13,1,0,13
2021-12-06,30,22,11,2,0,14
2021-12-07,35,16,12,1,0,13
2021-12-07,30,17,12,1,0,14
2021-12-08,32,34,9,4,0,14
2021-12-08,28,25,12,3,0,13
2021-12-09,47,32,15,1,0,9
2021-12-09,34,35,12,2,0,13
2021-12-10,56,25,12,0,1,9
2021-12-10,55,45,11,3,0,13
2021-12-11,29,31,12,1,0,8
2021-12-11,63,37,12,2,0,14
2021-12-12,48,40,12,6,0,9
2021-12-12,67,25,13,0,0,14
2021-12-13,46,29,13,1,0,7
2021-12-13,52,11,10,1,0,13
2021-12-14,44,35,12,1,1,9
2021-12-14,23,12,10,1,0,14
2021-12-15,64,55,11,1,0,8
2021-12-15,21,14,10,2,0,13
2021-12-16,42,26,10,2,0,10
2021-12-16,18,17,10,2,0,14
2021-12-17,38,23,10,0,0,9
2021-12-17,29,18,12,1,0,13
2021-12-18,26,15,10,0,0,9
2021-12-18,34,29,13,0,0,13
2021-12-19,28,13,11,1,0,9
2021-12-19,52,34,13,0,0,13
2021-12-20,20,,,,,
2021-12-20,56,39,11,1,0,13
2021-12-21,,38,16,1,0,9
2021-12-21,49,21,12,1,0,13
2021-12-22,61,36,14,2,0,10
2021-12-22,38,31,12,3,0,14
2021-12-23,58,17,14,1,0,9
2021-12-23,49,56,13,4,0,14
2021-12-24,33,17,12,0,0,9
2021-12-24,61,32,13,1,0,14
2021-12-25,25,26,11,0,0,8
2021-12-25,59,37,13,3,0,14
2021-12-26,48,26,12,1,0,9
2021-12-26,64,24,10,0,0,13
2021-12-27,49,22,6,2,0,11
2021-12-27,46,23,10,1,0,13
2021-12-28,43,36,8,1,0,9
2021-12-28,32,19,11,2,0,13
2021-12-29,57,22,15,3,1,9
2021-12-29,26,12,11,1,0,13
2021-12-30,38,15,12,1,1,9
2021-12-30,21,16,11,0,0,13
2021-12-31,32,10,9,0,0,10
2021-12-31,31,9,12,1,0,13
2022-01-01,18,17,11,0,0,10
2022-01-01,18,11,12,0,0,13
2022-01-02,31,8,11,0,0,10
2022-01-02,23,11,12,0,0,13
2022-01-03,17,14,11,1,0,10
2022-01-03,21,,,,,
2022-01-04,22,22,12,2,0,9
2022-01-05,32,21,13,1,0,10
2022-01-06,33,28,8,2,1,10
2022-01-07,43,21,13,1,0,9
2022-01-08,36,12,11,0,0,9
2022-01-09,25,10,9,1,1,9
2022-01-10,18,13,12,1,1,9
2022-01-11,20,20,13,2,1,9
2022-01-12,32,14,8,0,0,9
2022-01-13,22,18,9,0,0,10
2022-01-14,36,17,7,0,0,10
2022-01-15,27,15,8,0,0,10
2022-01-16,26,28,10,2,0,10
2022-01-17,29,14,8,0,0,10
2022-01-18,25,21,10,0,0,9
2022-01-19,29,15,10,1,0,9
2022-01-20,24,17,9,1,0,10
2022-01-21,25,16,9,1,0,10
2022-01-22,26,17,10,0,0,10
2022-01-23,30,9,8,0,0,10
2022-01-24,21,12,8,0,0,9
2022-01-25,22,12,8,0,0,12
2022-01-26,19,24,10,0,0,13
2022-01-27,31,28,9,0,0,13
2022-01-28,44,21,,0,0,14
2022-01-29,42,12,,0,0,13
2022-01-30,23,15,8,0,0,13
2022-01-31,27,19,8,0,0,13
2022-02-01,31,20,7,0,0,13
2022-02-02,32,11,6,1,0,13
2022-02-03,20,15,8,0,0,13
2022-02-04,26,15,10,0,0,13
2022-02-05,27,13,9,0,1,13
2022-02-06,24,8,7,1,0,
2022-02-07,17,17,9,0,0,
2022-02-08,31,15,11,0,0,
2022-02-09,28,12,8,0,0,
2022-02-10,24,12,8,1,0,
2022-02-11,24,16,7,0,0,
2022-02-12,34,16,9,0,0,
2022-02-13,31,19,7,1,0,
2022-02-14,32,15,8,0,0,
2022-02-15,25,15,6,1,0,
2022-02-16,25,10,6,0,0,
2022-02-17,17,17,8,0,0,
2022-02-18,25,26,9,0,0,
2022-02-19,43,29,10,0,0,
2022-02-20,50,17,9,0,0,
2022-02-21,39,21,12,1,0,
2022-02-22,36,12,4,0,0,
2022-02-23,26,16,6,0,0,
2022-02-24,32,23,7,0,0,
2022-02-25,44,20,8,0,0,
2022-02-26,40,13,7,0,0,
2022-02-27,30,8,8,0,0,
2022-02-28,17,13,6,0,0,
2022-03-01,20,18,8,0,0,
2022-03-02,27,20,6,0,0,
2022-03-03,30,25,8,0,0,
2022-03-04,39,20,9,0,0,
2022-03-05,30,20,8,0,0,
2022-03-06,34,,,,,
2022-03-31,,21,10,0,0,
2022-04-01,37,17,7,0,0,
2022-04-02,30,14,7,0,0,
2022-04-03,26,20,7,0,0,
2022-04-04,34,17,5,0,0,
2022-04-05,31,22,7,0,0,
2022-04-06,40,25,14,0,0,
2022-04-07,42,20,11,0,0,
2022-04-08,32,24,8,0,0,
2022-04-09,37,26,9,0,0,
2022-04-10,39,22,9,0,0,
2022-04-11,45,23,10,0,0,
2022-04-12,37,22,12,0,0,
2022-04-13,35,16,8,0,0,
2022-04-14,34,19,8,0,0,
2022-04-15,27,38,10,0,0,
2022-04-16,39,36,10,0,0,
2022-04-17,52,42,10,1,0,
2022-04-18,52,24,8,0,0,
2022-04-19,42,30,8,0,0,
2022-04-20,50,36,12,1,0,
2022-04-21,51,38,7,0,0,
2022-04-22,47,13,5,0,0,
2022-04-23,26,11,5,0,0,
2022-04-24,21,15,7,0,0,
2022-04-25,28,27,5,1,0,
2022-04-26,34,27,8,0,0,
2022-04-27,41,25,9,0,0,
2022-04-28,44,24,9,0,0,
2022-04-29,39,31,12,1,0,
2022-04-30,46,24,11,3,0,
2022-05-01,35,19,6,1,1,
2022-05-02,27,15,7,0,1,
2022-05-03,27,23,7,0,0,
2022-05-04,36,17,11,1,0,
2022-05-05,34,28,13,1,0,
2022-05-06,48,29,10,1,0,
2022-05-07,49,25,6,1,0,
2022-05-08,34,18,7,0,0,
2022-05-09,28,23,9,1,0,
2022-05-10,38,23,12,0,0,
2022-05-11,46,17,7,0,0,
2022-05-12,34,30,5,0,0,
2022-05-13,35,33,12,2,0,
2022-05-14,46,16,6,1,0,
2022-05-15,31,17,6,0,0,
2022-05-16,25,26,9,1,0,
2022-05-17,39,24,11,1,0,
2022-05-18,40,15,7,0,0,
2022-05-19,26,15,6,1,0,
2022-05-20,18,15,7,1,0,
2022-05-21,20,22,11,2,0,
2022-05-22,41,,,,,
2022-05-26,,24,,0,0,
2022-05-27,41,33,6,2,0,
2022-05-28,48,20,8,1,0,
2022-05-29,41,21,3,1,0,
2022-05-30,36,19,,4,0,
2022-05-31,36,,,,,
2022-06-03,,,,,,7
2022-06-04,,13,,0,0,
2022-06-05,22,,7,,,6
2022-06-06,,17,,0,1,6
2022-06-07,28,29,,2,0,6
2022-06-08,43,12,6,1,1,6
2022-06-09,23,9,,0,0,5
2022-06-10,20,17,9,2,0,6
2022-06-11,23,15,9,1,0,6
2022-06-12,24,16,7,1,0,5
2022-06-13,25,19,10,1,0,7
2022-06-14,29,32,,4,0,
2022-06-15,44,,,,,
2022-06-18,,,8,,,5
2022-06-19,,17,8,0,0,6
2022-06-20,37,16,8,1,0,5
2022-06-21,23,9,8,0,0,5
2022-06-22,17,18,8,1,0,7
2022-06-23,33,19,11,2,0,6
2022-06-24,41,24,9,4,0,7
2022-06-25,30,36,8,3,0,6
2022-06-26,45,29,7,2,0,6
2022-06-27,39,35,7,2,0,6
2022-06-28,56,29,8,2,0,5
2022-06-29,42,10,9,0,0,6
2022-06-30,,29,7,2,0,6
2022-06-30,21,12,,0,0,
2022-07-01,42,10,8,0,0,5
2022-07-01,25,,,,,
2022-07-02,21,12,9,0,0,6
2022-07-03,25,23,7,4,0,7
2022-07-04,29,16,7,2,0,6
2022-07-05,24,17,8,1,0,5
2022-07-06,22,17,6,3,0,6
2022-07-07,26,18,8,2,0,5
2022-07-08,34,19,8,0,0,5
2022-07-09,36,19,8,1,0,6
2022-07-10,41,21,9,3,0,7
2022-07-11,37,32,10,8,0,9
2022-07-12,47,32,8,3,1,7
2022-07-13,49,14,6,3,0,6
2022-07-14,27,23,8,1,0,6
2022-07-15,47,22,10,1,0,6
2022-07-16,45,20,9,1,0,6
2022-07-17,45,14,8,1,0,6
2022-07-18,30,22,7,3,1,7
2022-07-19,41,45,6,8,3,10
2022-07-20,53,32,9,3,2,8
2022-07-21,46,18,6,3,0,6
2022-07-22,34,18,9,1,0,6
2022-07-23,36,12,9,0,0,5
2022-07-24,21,17,7,3,0,6
2022-07-25,26,27,8,5,0,7
2022-07-26,37,26,9,3,0,7
2022-07-27,52,33,9,5,0,8
2022-07-28,56,29,8,1,0,6
2022-07-29,36,19,9,1,0,6
2022-07-30,31,25,10,2,0,6
2022-07-31,47,32,8,4,0,8
2022-08-01,54,37,9,5,0,7
2022-08-02,46,21,9,2,1,7
2022-08-03,41,25,5,5,1,8
2022-08-04,38,27,9,3,0,7
2022-08-05,37,9,8,2,0,6
2022-08-06,19,17,10,1,0,6
2022-08-07,34,34,7,6,0,9
2022-08-08,49,30,8,5,0,8
2022-08-09,47,31,8,3,0,6
2022-08-10,40,35,9,7,0,8
2022-08-11,47,30,8,5,0,7
2022-08-12,40,34,9,3,0,9
2022-08-13,63,33,9,3,0,9
2022-08-14,65,43,11,8,1,11
2022-08-15,,27,15,2,2,8
2022-08-15,55,42,14,2,0,7
2022-08-16,36,29,12,3,2,10
2022-08-16,39,55,13,2,0,8
2022-08-17,47,24,9,2,2,10
2022-08-17,64,15,10,2,0,8
2022-08-18,49,31,3,6,2,13
2022-08-18,30,20,8,3,0,7
2022-08-19,60,26,5,6,3,11
2022-08-19,29,22,10,3,1,8
2022-08-20,52,23,8,5,2,10
2022-08-20,42,25,9,4,1,9
2022-08-21,47,35,8,6,2,12
2022-08-21,53,25,9,5,0,9
2022-08-22,67,35,10,6,2,13
2022-08-22,44,33,9,5,0,8
2022-08-23,73,25,15,1,1,9
2022-08-23,45,29,9,3,0,7
2022-08-24,45,19,10,2,1,9
2022-08-24,35,32,9,4,0,8
2022-08-25,40,17,8,4,2,10
2022-08-25,59,30,9,4,0,11
2022-08-26,31,27,10,4,2,11
2022-08-26,63,32,9,4,0,10
2022-08-27,51,24,10,3,1,10
2022-08-27,55,11,10,0,0,5
2022-08-28,42,16,10,2,1,9
2022-08-28,18,19,11,2,0,6
2022-08-29,32,43,10,5,0,12
2022-08-29,32,23,10,3,0,8
2022-08-30,82,29,11,6,0,12
2022-08-30,37,24,8,5,0,9
2022-08-31,52,22,18,1,0,9
2022-08-31,36,29,9,6,0,10
2022-09-01,48,25,11,2,0,9
2022-09-01,51,46,7,8,0,11
2022-09-02,54,13,9,3,0,9
2022-09-02,71,25,9,5,0,9
