time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,,27,,,1,
2021-01-02,,11,,,1,
2021-01-02,,25,,,3,
2021-01-03,,12,,,1,
2021-01-03,,11,,,2,
2021-01-04,,48,,,,
2021-01-04,,9,,,1,
2021-01-05,,20,,,,
2021-01-05,,14,,,0,
2021-01-06,,17,,,,
2021-01-06,,14,,,2,
2021-01-07,,15,,,,
2021-01-07,,15,,,1,
2021-01-08,,23,,,0,
2021-01-08,,20,,,2,
2021-01-09,,18,,,0,
2021-01-09,,35,,,2,
2021-01-10,,15,,,0,
2021-01-10,,42,,,2,
2021-01-11,,18,,,0,
2021-01-11,,17,,,1,
2021-01-12,,17,,,1,
2021-01-12,,13,,,1,
2021-01-13,,13,,,0,
2021-01-13,,23,,,,
2021-01-14,,10,,,0,
2021-01-14,,20,,,1,
2021-01-15,,,,,1,
2021-01-15,,25,,,1,
2021-01-16,,45,,,1,
2021-01-17,,17,,,,
2021-01-17,,28,,,1,
2021-01-18,,48,,,24,
2021-01-18,,24,,,2,
2021-01-19,,21,,,0,
2021-01-19,,34,,,2,
2021-01-20,,14,,,0,
2021-01-20,,45,,,2,
2021-01-21,,14,,,7,
2021-01-21,,27,,,,
2021-01-22,,,,,0,
2021-01-22,,21,,,1,
2021-01-23,,12,,,,
2021-01-23,,18,,,1,
2021-01-24,,10,,,0,
2021-01-24,,21,,,1,
2021-01-25,,25,,,2,
2021-01-25,,34,,,1,
2021-01-26,,18,,,1,
2021-01-26,,26,,,,
2021-01-27,,19,,,1,
2021-01-28,,18,,,1,
2021-01-29,,11,,,1,
2021-01-30,,216,,,1,
2021-01-31,,30,,,78,
2021-02-01,,22,,,,
2021-02-02,,42,,,,
2021-02-03,,29,,,,
2021-02-04,,16,,,,
2021-02-05,,21,,,4,
2021-02-05,,,,,8,
2021-02-06,,27,,,,
2021-02-06,,45,,,,
2021-02-07,,14,,,0,
2021-02-07,,22,,,,
2021-02-08,,14,,,7,
2021-02-08,,40,,,,
2021-02-09,,20,,,0,
2021-02-09,,29,,,,
2021-02-10,,30,,,0,
2021-02-10,,18,,,,
2021-02-11,,16,,,4,
2021-02-11,,15,,,0,
2021-02-12,,13,,,0,
2021-02-12,,17,,,,
2021-02-13,,14,,,0,
2021-02-13,,13,,,,
2021-02-14,,11,,,1,
2021-02-14,,9,,,,
2021-02-15,,24,,,,
2021-02-16,,20,,,,
2021-02-16,,22,,,0,
2021-02-17,,41,,,,
2021-02-17,,19,,,0,
2021-02-18,,28,,,,
2021-02-18,,29,,,0,
2021-02-19,,37,,,0,
2021-02-19,,18,,,0,
2021-02-20,,24,,,0,
2021-02-20,,19,,,1,
2021-02-21,,12,,,1,
2021-02-21,,15,,,0,
2021-02-22,,33,,,0,
2021-02-22,,37,,,0,
2021-02-23,,21,,,1,
2021-02-23,,32,,,0,
2021-02-24,,26,,,2,
2021-02-24,,28,,,0,
2021-02-25,,18,,,0,
2021-02-25,,19,,,1,
2021-02-26,,19,,,2,
2021-02-26,,18,,,0,
2021-02-27,,20,,,0,
2021-02-27,,27,,,1,
2021-02-28,,17,,,2,
2021-02-28,,19,,,0,
2021-03-01,,20,,,0,
2021-03-01,,35,,,1,
2021-03-02,,21,,,2,
2021-03-02,,19,,,0,
2021-03-03,,41,,,0,
2021-03-03,,33,,,1,
2021-03-04,,16,,,2,
2021-03-04,,26,,,0,
2021-03-05,,17,,,0,
2021-03-05,,17,,,1,
2021-03-06,,20,,,1,
2021-03-06,,18,,,1,
2021-03-07,,33,,,0,
2021-03-07,,12,,,1,
2021-03-08,,34,,,1,
2021-03-08,,14,,,0,
2021-03-09,,44,,,1,
2021-03-09,,18,,,0,
2021-03-10,,24,,,1,
2021-03-10,,17,,,1,
2021-03-11,,12,,,21,
2021-03-11,,25,,,0,
2021-03-12,,13,,,29,
2021-03-12,,33,,,1,
2021-03-13,,14,,,29,
2021-03-13,,34,,,1,
2021-03-14,,35,,,8,
2021-03-14,,22,,,1,
2021-03-15,,19,,,0,
2021-03-15,,19,,,,
2021-03-16,,30,,,0,
2021-03-16,,22,,,1,
2021-03-17,,19,,,0,
2021-03-17,,36,,,1,
2021-03-18,,16,,,7,
2021-03-18,,23,,,1,
2021-03-19,,20,,,0,
2021-03-19,,19,,,1,
2021-03-20,,20,,,1,
2021-03-20,,19,,,1,
