time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,84,15,15,0,,1
2021-01-02,12,23,11,1,,1
2021-01-03,65,18,16,1,,1
2021-01-04,56,17,15,0,,1
2021-01-05,,25,14,0,,1
2021-01-06,13,25,13,0,,0
2021-01-07,80,34,13,0,,0
2021-01-08,102,40,21,1,,2
2021-01-09,112,35,22,1,,2
2021-01-10,108,16,13,0,,0
2021-01-11,52,3,10,0,,0
2021-01-12,14,13,16,0,,0
2021-01-13,45,88,17,1,,2
2021-01-14,157,53,15,0,,1
2021-01-15,138,45,23,0,,0
2021-01-16,139,51,18,0,,0
2021-01-17,151,49,22,0,,0
2021-01-18,150,42,22,1,,0
2021-01-19,131,47,21,1,,1
2021-01-20,138,72,18,0,,1
2021-01-21,184,44,18,0,0,0
2021-01-22,138,48,21,0,0,2
2021-01-23,135,43,27,0,0,3
2021-01-24,133,27,22,1,0,3
2021-01-25,93,41,19,1,0,2
2021-01-26,130,48,18,0,0,2
2021-01-27,145,49,22,0,0,3
2021-01-28,150,43,20,0,0,4
2021-01-29,129,44,19,0,,3
2021-01-30,137,39,17,0,,2
2021-01-31,126,17,18,0,,2
2021-02-01,63,21,18,1,,2
2021-02-02,75,28,15,1,0,2
2021-02-03,94,28,20,2,0,2
2021-02-04,91,21,18,1,0,2
2021-02-05,75,13,22,1,0,1
2021-02-06,47,14,24,2,0,2
2021-02-07,39,18,25,1,0,1
2021-02-08,49,14,20,1,0,1
2021-02-09,36,11,17,0,0,1
2021-02-10,34,10,12,0,0,1
2021-02-11,23,6,13,0,0,0
2021-02-12,16,10,15,0,0,0
2021-02-13,24,14,17,0,0,1
2021-02-14,34,13,16,1,0,1
2021-02-15,28,18,16,0,0,1
2021-02-16,30,18,23,0,0,0
2021-02-17,39,19,16,0,0,1
2021-02-18,44,21,20,1,0,1
2021-02-19,46,14,13,0,0,0
2021-02-20,27,5,10,0,0,0
2021-02-21,12,11,18,0,0,1
2021-02-22,26,13,19,1,4,1
2021-02-23,36,14,20,0,0,1
2021-02-24,39,8,21,0,2,0
2021-02-25,23,6,18,0,0,0
2021-02-26,18,9,20,0,0,0
2021-02-27,19,3,15,0,0,0
2021-02-28,10,9,18,0,0,0
2021-03-01,27,6,14,0,2,0
2021-03-02,16,10,16,0,0,0
2021-03-03,20,11,20,0,3,0
2021-03-04,23,4,11,0,0,0
2021-03-05,8,9,13,0,0,0
2021-03-06,18,4,11,0,0,0
2021-03-07,12,4,12,0,0,0
2021-03-08,14,4,11,0,0,0
2021-03-09,9,7,9,0,0,0
2021-03-10,10,11,8,0,0,0
2021-03-11,16,12,14,0,0,0
2021-03-12,23,24,14,2,0,0
2021-03-13,34,11,14,1,0,0
2021-03-14,,4,6,0,0,0
2021-03-14,29,7,11,0,0,0
2021-03-15,14,8,8,1,0,0
2021-03-15,19,6,7,0,0,0
2021-03-16,13,5,10,2,5,1
2021-03-16,16,4,8,0,0,0
2021-03-17,9,3,8,0,0,0
2021-03-17,13,4,9,0,0,0
2021-03-18,10,4,7,0,0,0
2021-03-18,13,3,6,0,0,0
2021-03-19,13,3,8,1,0,1
2021-03-19,8,2,6,0,0,0
2021-03-20,11,3,9,0,0,0
2021-03-20,6,2,7,0,0,0
2021-03-21,11,3,8,0,0,0
2021-03-21,5,2,8,0,0,0
