time,pm25,pm10,O3,NO2,SO2,CO
2021-12-30,,14,,,1,
2021-12-31,43,22,,,1,
2022-01-01,25,42,,,1,
2022-01-02,14,22,,,1,
2022-01-03,46,31,,,1,
2022-01-04,21,35,,,1,
2022-01-05,28,,,,,
2022-03-30,,45,,,1,
2022-03-31,22,41,,,1,
2022-04-01,18,31,,,1,
2022-04-02,24,33,,,1,
2022-04-03,23,27,,,1,
2022-04-04,16,31,,,1,
2022-04-05,22,29,,,1,
2022-04-06,25,36,,,1,
2022-04-07,21,37,,,1,
2022-04-08,26,47,,,1,
2022-04-09,29,21,,,1,
2022-04-10,34,14,,,1,
2022-04-11,41,14,,,1,
2022-04-12,39,19,,,1,
2022-04-13,53,13,,,1,
2022-04-14,39,15,,,0,
2022-04-15,44,26,,,,
2022-04-16,70,,,,,
2022-04-20,,19,,,,
2022-04-21,53,,,,,
2022-04-25,,13,,,0,
2022-04-26,39,11,,,0,
2022-04-27,34,14,,,0,
2022-04-28,44,31,,,0,
2022-04-29,70,25,,,0,
2022-04-30,67,,,,,
2022-05-01,,19,,,,
2022-05-02,52,8,,,,
2022-05-03,27,13,,,,
2022-05-04,39,16,,,,
2022-05-05,43,14,,,0,
2022-05-06,39,29,,,0,
2022-05-07,69,24,,,0,
2022-05-08,63,20,,,0,
2022-05-09,49,25,,,0,
2022-05-10,67,24,,,0,
2022-05-11,58,,,,,
2022-05-20,,25,,,0,
2022-05-21,62,17,,,0,
2022-05-22,50,19,,,0,
2022-05-23,51,23,,,0,
2022-05-24,38,14,,,0,
2022-05-25,27,23,,,0,
2022-05-26,17,27,,,0,
2022-05-27,20,31,,,0,
2022-05-28,18,31,,,0,
2022-05-29,48,32,,,0,
2022-05-30,79,8,,,0,
2022-05-31,23,11,,,0,
2022-06-01,32,21,,,0,
2022-06-02,54,16,,,,
2022-06-03,39,14,,,,
2022-06-04,38,23,,,,
2022-06-05,57,13,,,,
2022-06-06,37,14,,,0,
2022-06-07,37,22,,,0,
2022-06-08,52,10,,,0,
2022-06-09,23,10,,,0,
2022-06-10,29,8,,,0,
2022-06-11,20,11,,,0,
2022-06-12,33,8,,,,
2022-06-13,24,,,,,
2022-06-19,,13,,,,
2022-06-20,36,7,,,0,
2022-06-21,17,7,,,0,
2022-06-22,22,18,,,0,
2022-06-23,44,30,,,0,
2022-06-24,70,34,,,0,
2022-06-25,76,31,,,0,
2022-06-26,,15,,,0,
2022-06-26,74,15,,,0,
2022-06-27,38,7,,,0,
2022-06-27,38,7,,,0,
2022-06-28,22,,,,,
2022-06-28,22,,,,0,
2022-06-29,,14,,,,
2022-06-30,36,,,,,
2022-07-02,,30,,,0,
2022-07-03,71,9,,,0,
2022-07-04,27,7,,,0,
2022-07-05,19,5,,,0,
2022-07-06,15,5,,,0,
2022-07-07,16,9,,,0,
2022-07-08,19,14,,,0,
2022-07-09,35,23,,,0,
2022-07-10,56,16,,,0,
2022-07-11,42,9,,,0,
2022-07-12,21,7,,,0,
2022-07-13,19,8,,,0,
2022-07-14,21,19,,,0,
2022-07-15,50,16,,,0,
2022-07-16,39,29,,,0,
2022-07-17,64,28,,,0,
2022-07-18,67,,,,,
2022-07-22,,10,,,0,
2022-07-23,28,14,,,0,
2022-07-24,41,11,,,0,
2022-07-25,32,28,,,0,
2022-07-26,60,19,,,0,
2022-07-27,52,13,,,0,
2022-07-28,38,19,,,0,
2022-07-29,49,15,,,0,
2022-07-30,41,30,,,0,
2022-07-31,70,26,,,0,
2022-08-01,63,21,,,0,
2022-08-02,56,33,,,0,
2022-08-03,78,11,,,0,
2022-08-04,31,14,,,0,
2022-08-05,40,30,,,0,
2022-08-06,71,35,,,0,
2022-08-07,78,28,,,0,
2022-08-08,72,29,,,0,
2022-08-09,70,19,,,0,
2022-08-10,58,13,,,0,
2022-08-11,34,13,,,0,
2022-08-12,36,22,,,0,
2022-08-13,54,30,,,0,
2022-08-14,68,33,,,0,
2022-08-15,75,34,,,0,
2022-08-16,78,5,,,0,
2022-08-17,12,2,,,,
2022-08-18,8,,,,,
2022-08-22,,29,,,,
2022-08-23,74,,,,,
2022-08-25,,18,,,0,
2022-08-26,46,23,,,0,
2022-08-27,52,32,,,0,
2022-08-28,70,31,,,0,
2022-08-29,77,40,,,0,
2022-08-30,93,39,,,0,
2022-08-31,92,17,,,0,
2022-09-01,50,8,,,0,
2022-09-02,24,31,,,0,
2022-09-03,72,36,,,0,
2022-09-04,83,36,,,0,
2022-09-05,82,25,,,0,
2022-09-06,66,11,,,0,
2022-09-07,34,,,,,
2022-09-08,,45,,,0,
2022-09-09,101,19,,,0,
2022-09-10,49,,,,,
2022-09-16,,26,,,0,
2022-09-17,65,18,,,0,
2022-09-18,51,18,,,0,
2022-09-19,44,22,,,0,
2022-09-20,56,16,,,0,
2022-09-21,43,13,,,0,
2022-09-22,43,35,,,0,
2022-09-23,83,27,,,0,
2022-09-24,68,29,,,0,
2022-09-25,70,,,,,
