Country Name,Country Code,Indicator Name,2021,2022
Aruba,ABW,GDP (current US$),3103184101.51354,3544707788.05664
Africa Eastern and Southern,AFE,GDP (current US$),1086530704900.5,1185137703650.99
Afghanistan,AFG,GDP (current US$),14266499429.8746,
Africa Western and Central,AFW,GDP (current US$),844927536437.833,875393693658.084
Angola,AGO,GDP (current US$),66505129989.243,106782770714.619
Albania,ALB,GDP (current US$),17930565118.8176,18916378860.5488
Andorra,AND,GDP (current US$),3325143693.28714,3352031094.22914
Arab World,ARB,GDP (current US$),2930480380718.33,3543339785306.04
United Arab Emirates,ARE,GDP (current US$),415178792769.884,507063968273.313
Argentina,ARG,GDP (current US$),487902572164.348,631133384439.944
Armenia,ARM,GDP (current US$),13878908628.9378,19513474648.2429
American Samoa,ASM,GDP (current US$),750000000,871000000
Antigua and Barbuda,ATG,GDP (current US$),1601366666.66667,1867733333.33333
Australia,AUS,GDP (current US$),1559033756285.13,1692956646855.7
Austria,AUT,GDP (current US$),479295362747.047,470941926750.741
Azerbaijan,AZE,GDP (current US$),54825411764.7059,78721058823.5294
Burundi,BDI,GDP (current US$),2775798697.47186,3338722827.66241
Belgium,BEL,GDP (current US$),600748812601.541,583435595579.963
Benin,BEN,GDP (current US$),17687623534.6665,17396792699.5489
Burkina Faso,BFA,GDP (current US$),19642668879.7694,18820064797.8379
Bangladesh,BGD,GDP (current US$),416264800549.026,460201265527.977
Bulgaria,BGR,GDP (current US$),84041493015.6618,90346169914.9349
Bahrain,BHR,GDP (current US$),39288670212.766,44383297872.3404
"Bahamas, The",BHS,GDP (current US$),11527600000,12897400000
Bosnia and Herzegovina,BIH,GDP (current US$),23649568276.8447,24473906673.7086
Belarus,BLR,GDP (current US$),69673747131.87,72793457588.4367
Belize,BLZ,GDP (current US$),2424575179.3783,2830507575.6841
Bermuda,BMU,GDP (current US$),7127200000,7546000000
Bolivia,BOL,GDP (current US$),40406111695.179,44008282877.9606
Brazil,BRA,GDP (current US$),1649622821885.14,1920095779022.73
Barbados,BRB,GDP (current US$),4923100000,5699950000
Brunei Darussalam,BRN,GDP (current US$),14006496617.4458,16681536466.7183
Bhutan,BTN,GDP (current US$),2768003872.54065,
Botswana,BWA,GDP (current US$),18737066311.1597,20355541962.8512
Central African Republic,CAF,GDP (current US$),2516498412.46384,2382618615.01694
Canada,CAN,GDP (current US$),2001486745423.92,2137939220074.91
Central Europe and the Baltics,CEB,GDP (current US$),1908002281033.51,1944160092868.98
Switzerland,CHE,GDP (current US$),813408787222.499,818426550206.45
Channel Islands,CHI,GDP (current US$),11735662219.7772,
Chile,CHL,GDP (current US$),316581155648.871,301024724911.923
China,CHN,GDP (current US$),17820459508852.2,17963171479205.3
Cote d'Ivoire,CIV,GDP (current US$),71811075955.078,70018715016.8293
Cameroon,CMR,GDP (current US$),44993521774.066,43644068310.851
"Congo, Dem. Rep.",COD,GDP (current US$),55328482783.5393,64718641221.216
"Congo, Rep.",COG,GDP (current US$),14825708810.7046,15816996654.5788
Colombia,COL,GDP (current US$),318511813576.97,343622114560.409
Comoros,COM,GDP (current US$),1296089479.45831,1242519407.27815
Cabo Verde,CPV,GDP (current US$),1997866378.77119,2226862134.08787
Costa Rica,CRI,GDP (current US$),64960725734.2362,69243626028.6696
Caribbean small states,CSS,GDP (current US$),76123490342.5381,94867024971.9129
Cuba,CUB,GDP (current US$),545217900000,633442300000
Curacao,CUW,GDP (current US$),2739594359.5908,3075180834.72417
Cayman Islands,CYM,GDP (current US$),6028373513.49405,6844827379.30952
Cyprus,CYP,GDP (current US$),29482917678.8954,29250524418.0855
Czechia,CZE,GDP (current US$),281791218507.1,290527550627.221
Germany,DEU,GDP (current US$),4278503934689.85,4082469490797.68
Djibouti,DJI,GDP (current US$),3385825228.86997,3515108859.95465
Dominica,DMA,GDP (current US$),555266666.666667,607440740.740741
Denmark,DNK,GDP (current US$),405687998852.691,400167196948.707
Dominican Republic,DOM,GDP (current US$),94243425938.3647,113537368176.13
Algeria,DZA,GDP (current US$),163472387986.768,194998449769.085
